group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"intial: 10, fanal 9",,,,,984762.0,ns,28723
"intial: 10, fanal 9",,,,,1982594.0,ns,57446
"intial: 10, fanal 9",,,,,2966609.0,ns,86169
"intial: 10, fanal 9",,,,,3965850.0,ns,114892
"intial: 10, fanal 9",,,,,4966091.0,ns,143615
"intial: 10, fanal 9",,,,,5950053.0,ns,172338
"intial: 10, fanal 9",,,,,6973146.0,ns,201061
"intial: 10, fanal 9",,,,,7948038.0,ns,229784
"intial: 10, fanal 9",,,,,9145571.0,ns,258507
"intial: 10, fanal 9",,,,,9952746.0,ns,287230
"intial: 10, fanal 9",,,,,10978581.0,ns,315953
"intial: 10, fanal 9",,,,,11939818.0,ns,344676
"intial: 10, fanal 9",,,,,12842048.0,ns,373399
"intial: 10, fanal 9",,,,,13819717.0,ns,402122
"intial: 10, fanal 9",,,,,14885536.0,ns,430845
"intial: 10, fanal 9",,,,,15742741.0,ns,459568
"intial: 10, fanal 9",,,,,16889454.0,ns,488291
"intial: 10, fanal 9",,,,,17741106.0,ns,517014
"intial: 10, fanal 9",,,,,18679673.0,ns,545737
"intial: 10, fanal 9",,,,,19594490.0,ns,574460
"intial: 10, fanal 9",,,,,20562726.0,ns,603183
"intial: 10, fanal 9",,,,,21784850.0,ns,631906
"intial: 10, fanal 9",,,,,23182348.0,ns,660629
"intial: 10, fanal 9",,,,,27588467.0,ns,689352
"intial: 10, fanal 9",,,,,25009831.0,ns,718075
"intial: 10, fanal 9",,,,,26247409.0,ns,746798
"intial: 10, fanal 9",,,,,26840694.0,ns,775521
"intial: 10, fanal 9",,,,,27971272.0,ns,804244
"intial: 10, fanal 9",,,,,28971441.0,ns,832967
"intial: 10, fanal 9",,,,,29598234.0,ns,861690
"intial: 10, fanal 9",,,,,30132618.0,ns,890413
"intial: 10, fanal 9",,,,,31838705.0,ns,919136
"intial: 10, fanal 9",,,,,37110729.0,ns,947859
"intial: 10, fanal 9",,,,,32976229.0,ns,976582
"intial: 10, fanal 9",,,,,33685506.0,ns,1005305
"intial: 10, fanal 9",,,,,34914598.0,ns,1034028
"intial: 10, fanal 9",,,,,35809364.0,ns,1062751
"intial: 10, fanal 9",,,,,35634436.0,ns,1091474
"intial: 10, fanal 9",,,,,37792838.0,ns,1120197
"intial: 10, fanal 9",,,,,41907158.0,ns,1148920
"intial: 10, fanal 9",,,,,39514849.0,ns,1177643
"intial: 10, fanal 9",,,,,40573060.0,ns,1206366
"intial: 10, fanal 9",,,,,41603788.0,ns,1235089
"intial: 10, fanal 9",,,,,42519358.0,ns,1263812
"intial: 10, fanal 9",,,,,43603814.0,ns,1292535
"intial: 10, fanal 9",,,,,47867726.0,ns,1321258
"intial: 10, fanal 9",,,,,45390603.0,ns,1349981
"intial: 10, fanal 9",,,,,46513875.0,ns,1378704
"intial: 10, fanal 9",,,,,47466905.0,ns,1407427
"intial: 10, fanal 9",,,,,48351865.0,ns,1436150
"intial: 10, fanal 9",,,,,49507368.0,ns,1464873
"intial: 10, fanal 9",,,,,50341233.0,ns,1493596
"intial: 10, fanal 9",,,,,50949599.0,ns,1522319
"intial: 10, fanal 9",,,,,51989039.0,ns,1551042
"intial: 10, fanal 9",,,,,53292502.0,ns,1579765
"intial: 10, fanal 9",,,,,57807224.0,ns,1608488
"intial: 10, fanal 9",,,,,55738095.0,ns,1637211
"intial: 10, fanal 9",,,,,56028103.0,ns,1665934
"intial: 10, fanal 9",,,,,56933109.0,ns,1694657
"intial: 10, fanal 9",,,,,61348694.0,ns,1723380
"intial: 10, fanal 9",,,,,58869253.0,ns,1752103
"intial: 10, fanal 9",,,,,59884450.0,ns,1780826
"intial: 10, fanal 9",,,,,60986334.0,ns,1809549
"intial: 10, fanal 9",,,,,65255515.0,ns,1838272
"intial: 10, fanal 9",,,,,63048677.0,ns,1866995
"intial: 10, fanal 9",,,,,63819491.0,ns,1895718
"intial: 10, fanal 9",,,,,64763794.0,ns,1924441
"intial: 10, fanal 9",,,,,69151446.0,ns,1953164
"intial: 10, fanal 9",,,,,66646780.0,ns,1981887
"intial: 10, fanal 9",,,,,67724479.0,ns,2010610
"intial: 10, fanal 9",,,,,68567955.0,ns,2039333
"intial: 10, fanal 9",,,,,73043964.0,ns,2068056
"intial: 10, fanal 9",,,,,70989446.0,ns,2096779
"intial: 10, fanal 9",,,,,71583447.0,ns,2125502
"intial: 10, fanal 9",,,,,75793532.0,ns,2154225
"intial: 10, fanal 9",,,,,73402651.0,ns,2182948
"intial: 10, fanal 9",,,,,74324664.0,ns,2211671
"intial: 10, fanal 9",,,,,75852328.0,ns,2240394
"intial: 10, fanal 9",,,,,76293286.0,ns,2269117
"intial: 10, fanal 9",,,,,77393572.0,ns,2297840
"intial: 10, fanal 9",,,,,78431336.0,ns,2326563
"intial: 10, fanal 9",,,,,80270914.0,ns,2355286
"intial: 10, fanal 9",,,,,80180850.0,ns,2384009
"intial: 10, fanal 9",,,,,81376077.0,ns,2412732
"intial: 10, fanal 9",,,,,82175982.0,ns,2441455
"intial: 10, fanal 9",,,,,83176503.0,ns,2470178
"intial: 10, fanal 9",,,,,84187119.0,ns,2498901
"intial: 10, fanal 9",,,,,91071692.0,ns,2527624
"intial: 10, fanal 9",,,,,86733949.0,ns,2556347
"intial: 10, fanal 9",,,,,87337927.0,ns,2585070
"intial: 10, fanal 9",,,,,87877870.0,ns,2613793
"intial: 10, fanal 9",,,,,88689471.0,ns,2642516
"intial: 10, fanal 9",,,,,94957627.0,ns,2671239
"intial: 10, fanal 9",,,,,90990842.0,ns,2699962
"intial: 10, fanal 9",,,,,91845599.0,ns,2728685
"intial: 10, fanal 9",,,,,92901717.0,ns,2757408
"intial: 10, fanal 9",,,,,93546701.0,ns,2786131
"intial: 10, fanal 9",,,,,94789369.0,ns,2814854
"intial: 10, fanal 9",,,,,98242686.0,ns,2843577
"intial: 10, fanal 9",,,,,99030559.0,ns,2872300
