group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
intial_10000_fanal_9,,,,,1002008.0,ns,12263
intial_10000_fanal_9,,,,,1941862.0,ns,24526
intial_10000_fanal_9,,,,,2891063.0,ns,36789
intial_10000_fanal_9,,,,,3920663.0,ns,49052
intial_10000_fanal_9,,,,,8120164.0,ns,61315
intial_10000_fanal_9,,,,,5815649.0,ns,73578
intial_10000_fanal_9,,,,,6902541.0,ns,85841
intial_10000_fanal_9,,,,,8120748.0,ns,98104
intial_10000_fanal_9,,,,,8948729.0,ns,110367
intial_10000_fanal_9,,,,,9815690.0,ns,122630
intial_10000_fanal_9,,,,,10731268.0,ns,134893
intial_10000_fanal_9,,,,,11397634.0,ns,147156
intial_10000_fanal_9,,,,,12661368.0,ns,159419
intial_10000_fanal_9,,,,,13559154.0,ns,171682
intial_10000_fanal_9,,,,,14335474.0,ns,183945
intial_10000_fanal_9,,,,,15572016.0,ns,196208
intial_10000_fanal_9,,,,,16601645.0,ns,208471
intial_10000_fanal_9,,,,,17637621.0,ns,220734
intial_10000_fanal_9,,,,,18258298.0,ns,232997
intial_10000_fanal_9,,,,,19270496.0,ns,245260
intial_10000_fanal_9,,,,,20182021.0,ns,257523
intial_10000_fanal_9,,,,,21218226.0,ns,269786
intial_10000_fanal_9,,,,,25594953.0,ns,282049
intial_10000_fanal_9,,,,,23318402.0,ns,294312
intial_10000_fanal_9,,,,,24224506.0,ns,306575
intial_10000_fanal_9,,,,,25052735.0,ns,318838
intial_10000_fanal_9,,,,,26024043.0,ns,331101
intial_10000_fanal_9,,,,,27720459.0,ns,343364
intial_10000_fanal_9,,,,,28430513.0,ns,355627
intial_10000_fanal_9,,,,,29591183.0,ns,367890
intial_10000_fanal_9,,,,,30322797.0,ns,380153
intial_10000_fanal_9,,,,,31979883.0,ns,392416
intial_10000_fanal_9,,,,,32140575.0,ns,404679
intial_10000_fanal_9,,,,,33403531.0,ns,416942
intial_10000_fanal_9,,,,,34146343.0,ns,429205
intial_10000_fanal_9,,,,,35841683.0,ns,441468
intial_10000_fanal_9,,,,,37270874.0,ns,453731
intial_10000_fanal_9,,,,,37146183.0,ns,465994
intial_10000_fanal_9,,,,,42704701.0,ns,478257
intial_10000_fanal_9,,,,,40397308.0,ns,490520
intial_10000_fanal_9,,,,,41736495.0,ns,502783
intial_10000_fanal_9,,,,,42825780.0,ns,515046
intial_10000_fanal_9,,,,,43889761.0,ns,527309
intial_10000_fanal_9,,,,,44005691.0,ns,539572
intial_10000_fanal_9,,,,,48800815.0,ns,551835
intial_10000_fanal_9,,,,,46592884.0,ns,564098
intial_10000_fanal_9,,,,,45856402.0,ns,576361
intial_10000_fanal_9,,,,,47409280.0,ns,588624
intial_10000_fanal_9,,,,,47884313.0,ns,600887
intial_10000_fanal_9,,,,,49628196.0,ns,613150
intial_10000_fanal_9,,,,,49243417.0,ns,625413
intial_10000_fanal_9,,,,,50655916.0,ns,637676
intial_10000_fanal_9,,,,,51678277.0,ns,649939
intial_10000_fanal_9,,,,,52391127.0,ns,662202
intial_10000_fanal_9,,,,,57596037.0,ns,674465
intial_10000_fanal_9,,,,,56231524.0,ns,686728
intial_10000_fanal_9,,,,,56087640.0,ns,698991
intial_10000_fanal_9,,,,,55587166.0,ns,711254
intial_10000_fanal_9,,,,,57874130.0,ns,723517
intial_10000_fanal_9,,,,,59181840.0,ns,735780
intial_10000_fanal_9,,,,,61011878.0,ns,748043
intial_10000_fanal_9,,,,,62207726.0,ns,760306
intial_10000_fanal_9,,,,,62820601.0,ns,772569
intial_10000_fanal_9,,,,,62723398.0,ns,784832
intial_10000_fanal_9,,,,,64606808.0,ns,797095
intial_10000_fanal_9,,,,,65275824.0,ns,809358
intial_10000_fanal_9,,,,,66568105.0,ns,821621
intial_10000_fanal_9,,,,,66416915.0,ns,833884
intial_10000_fanal_9,,,,,67341879.0,ns,846147
intial_10000_fanal_9,,,,,68108985.0,ns,858410
intial_10000_fanal_9,,,,,71810338.0,ns,870673
intial_10000_fanal_9,,,,,70744852.0,ns,882936
intial_10000_fanal_9,,,,,71520826.0,ns,895199
intial_10000_fanal_9,,,,,72911166.0,ns,907462
intial_10000_fanal_9,,,,,72503184.0,ns,919725
intial_10000_fanal_9,,,,,74776866.0,ns,931988
intial_10000_fanal_9,,,,,77374613.0,ns,944251
intial_10000_fanal_9,,,,,82467250.0,ns,956514
intial_10000_fanal_9,,,,,80479174.0,ns,968777
intial_10000_fanal_9,,,,,79350428.0,ns,981040
intial_10000_fanal_9,,,,,80654475.0,ns,993303
intial_10000_fanal_9,,,,,83196660.0,ns,1005566
intial_10000_fanal_9,,,,,80140139.0,ns,1017829
intial_10000_fanal_9,,,,,81762845.0,ns,1030092
intial_10000_fanal_9,,,,,82416272.0,ns,1042355
intial_10000_fanal_9,,,,,83129308.0,ns,1054618
intial_10000_fanal_9,,,,,88868204.0,ns,1066881
intial_10000_fanal_9,,,,,85851978.0,ns,1079144
intial_10000_fanal_9,,,,,86646345.0,ns,1091407
intial_10000_fanal_9,,,,,87519412.0,ns,1103670
intial_10000_fanal_9,,,,,88195866.0,ns,1115933
intial_10000_fanal_9,,,,,92764391.0,ns,1128196
intial_10000_fanal_9,,,,,89507636.0,ns,1140459
intial_10000_fanal_9,,,,,90786434.0,ns,1152722
intial_10000_fanal_9,,,,,91489573.0,ns,1164985
intial_10000_fanal_9,,,,,92530843.0,ns,1177248
intial_10000_fanal_9,,,,,93127524.0,ns,1189511
intial_10000_fanal_9,,,,,98312122.0,ns,1201774
intial_10000_fanal_9,,,,,96462127.0,ns,1214037
intial_10000_fanal_9,,,,,97536228.0,ns,1226300
