group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
intial_1000_fanal_999,,,,,1063583.0,ns,364
intial_1000_fanal_999,,,,,2124397.0,ns,728
intial_1000_fanal_999,,,,,2956643.0,ns,1092
intial_1000_fanal_999,,,,,3910168.0,ns,1456
intial_1000_fanal_999,,,,,5105135.0,ns,1820
intial_1000_fanal_999,,,,,6034218.0,ns,2184
intial_1000_fanal_999,,,,,7065401.0,ns,2548
intial_1000_fanal_999,,,,,8320464.0,ns,2912
intial_1000_fanal_999,,,,,9207123.0,ns,3276
intial_1000_fanal_999,,,,,10307271.0,ns,3640
intial_1000_fanal_999,,,,,11218731.0,ns,4004
intial_1000_fanal_999,,,,,12040015.0,ns,4368
intial_1000_fanal_999,,,,,13208867.0,ns,4732
intial_1000_fanal_999,,,,,14506823.0,ns,5096
intial_1000_fanal_999,,,,,15560876.0,ns,5460
intial_1000_fanal_999,,,,,16733387.0,ns,5824
intial_1000_fanal_999,,,,,17572772.0,ns,6188
intial_1000_fanal_999,,,,,18895890.0,ns,6552
intial_1000_fanal_999,,,,,20413122.0,ns,6916
intial_1000_fanal_999,,,,,21325358.0,ns,7280
intial_1000_fanal_999,,,,,21378234.0,ns,7644
intial_1000_fanal_999,,,,,28753768.0,ns,8008
intial_1000_fanal_999,,,,,30062009.0,ns,8372
intial_1000_fanal_999,,,,,24703040.0,ns,8736
intial_1000_fanal_999,,,,,25801564.0,ns,9100
intial_1000_fanal_999,,,,,26557151.0,ns,9464
intial_1000_fanal_999,,,,,27872612.0,ns,9828
intial_1000_fanal_999,,,,,28712687.0,ns,10192
intial_1000_fanal_999,,,,,29823562.0,ns,10556
intial_1000_fanal_999,,,,,30716695.0,ns,10920
intial_1000_fanal_999,,,,,30863979.0,ns,11284
intial_1000_fanal_999,,,,,32349759.0,ns,11648
intial_1000_fanal_999,,,,,33310649.0,ns,12012
intial_1000_fanal_999,,,,,34617052.0,ns,12376
intial_1000_fanal_999,,,,,35776749.0,ns,12740
intial_1000_fanal_999,,,,,36297099.0,ns,13104
intial_1000_fanal_999,,,,,38086904.0,ns,13468
intial_1000_fanal_999,,,,,43861301.0,ns,13832
intial_1000_fanal_999,,,,,39956698.0,ns,14196
intial_1000_fanal_999,,,,,40118727.0,ns,14560
intial_1000_fanal_999,,,,,40368268.0,ns,14924
intial_1000_fanal_999,,,,,41264514.0,ns,15288
intial_1000_fanal_999,,,,,43120442.0,ns,15652
intial_1000_fanal_999,,,,,43444077.0,ns,16016
intial_1000_fanal_999,,,,,44128234.0,ns,16380
intial_1000_fanal_999,,,,,45389906.0,ns,16744
intial_1000_fanal_999,,,,,46309793.0,ns,17108
intial_1000_fanal_999,,,,,47496358.0,ns,17472
intial_1000_fanal_999,,,,,48480650.0,ns,17836
intial_1000_fanal_999,,,,,49602656.0,ns,18200
intial_1000_fanal_999,,,,,50330181.0,ns,18564
intial_1000_fanal_999,,,,,51476151.0,ns,18928
intial_1000_fanal_999,,,,,53211805.0,ns,19292
intial_1000_fanal_999,,,,,53539366.0,ns,19656
intial_1000_fanal_999,,,,,54421794.0,ns,20020
intial_1000_fanal_999,,,,,55027299.0,ns,20384
intial_1000_fanal_999,,,,,56316354.0,ns,20748
intial_1000_fanal_999,,,,,61782783.0,ns,21112
intial_1000_fanal_999,,,,,59425736.0,ns,21476
intial_1000_fanal_999,,,,,60911246.0,ns,21840
intial_1000_fanal_999,,,,,61503255.0,ns,22204
